[한화] 2026년 07월 예약가능 잔여객실 현황
수집일시: 2026-06-19 10:24
==================================================

■ 지점명: 거제 르 씨엘 (경상)
  - 2026년 07월 01일 (수요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (14실)
  - 2026년 07월 01일 (수요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 01일 (수요일) | 프리미어 스위트(호텔형) | 예약가능 (51실)
  - 2026년 07월 01일 (수요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 01일 (수요일) | 플래티넘(호텔형) | 예약가능 (3실)
  - 2026년 07월 02일 (목요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (14실)
  - 2026년 07월 02일 (목요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 02일 (목요일) | 프리미어 스위트(호텔형) | 예약가능 (49실)
  - 2026년 07월 02일 (목요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 02일 (목요일) | 플래티넘(호텔형) | 예약가능 (3실)
  - 2026년 07월 03일 (금요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (13실)
  - 2026년 07월 03일 (금요일) | 프리미어 스위트(호텔형) | 예약가능 (28실)
  - 2026년 07월 03일 (금요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 03일 (금요일) | 플래티넘(호텔형) | 예약가능 (1실)
  - 2026년 07월 04일 (토요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (3실)
  - 2026년 07월 04일 (토요일) | 프리미어 스위트(호텔형) | 예약가능 (11실)
  - 2026년 07월 04일 (토요일) | 플래티넘(복층_호텔형) | 예약가능 (1실)
  - 2026년 07월 05일 (일요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (13실)
  - 2026년 07월 05일 (일요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (1실)
  - 2026년 07월 05일 (일요일) | 프리미어 스위트(호텔형) | 예약가능 (45실)
  - 2026년 07월 05일 (일요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (13실)
  - 2026년 07월 06일 (월요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 06일 (월요일) | 프리미어 스위트(호텔형) | 예약가능 (49실)
  - 2026년 07월 06일 (월요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 06일 (월요일) | 플래티넘(호텔형) | 예약가능 (1실)
  - 2026년 07월 07일 (화요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (14실)
  - 2026년 07월 07일 (화요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 07일 (화요일) | 프리미어 스위트(호텔형) | 예약가능 (49실)
  - 2026년 07월 07일 (화요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 07일 (화요일) | 플래티넘(호텔형) | 예약가능 (1실)
  - 2026년 07월 08일 (수요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (14실)
  - 2026년 07월 08일 (수요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 08일 (수요일) | 프리미어 스위트(호텔형) | 예약가능 (50실)
  - 2026년 07월 08일 (수요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 08일 (수요일) | 플래티넘(호텔형) | 예약가능 (1실)
  - 2026년 07월 09일 (목요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (14실)
  - 2026년 07월 09일 (목요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 09일 (목요일) | 프리미어 스위트(호텔형) | 예약가능 (47실)
  - 2026년 07월 09일 (목요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 09일 (목요일) | 플래티넘(호텔형) | 예약가능 (1실)
  - 2026년 07월 10일 (금요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (10실)
  - 2026년 07월 10일 (금요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 10일 (금요일) | 프리미어 스위트(호텔형) | 예약가능 (9실)
  - 2026년 07월 10일 (금요일) | 플래티넘(복층_호텔형) | 예약가능 (3실)
  - 2026년 07월 11일 (토요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (2실)
  - 2026년 07월 11일 (토요일) | 프리미어 스위트(호텔형) | 예약가능 (5실)
  - 2026년 07월 11일 (토요일) | 플래티넘(복층_호텔형) | 예약가능 (1실)
  - 2026년 07월 12일 (일요일) | 프리미어 스위트(2F，4F_호텔형) | 예약가능 (13실)
  - 2026년 07월 12일 (일요일) | 프리미어 스위트(릴렉싱_호텔형) | 예약가능 (2실)
  - 2026년 07월 12일 (일요일) | 프리미어 스위트(호텔형) | 예약가능 (40실)
  - 2026년 07월 12일 (일요일) | 플래티넘(복층_호텔형) | 예약가능 (4실)
  - 2026년 07월 12일 (일요일) | 플래티넘(호텔형) | 예약가능 (2실)
